name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id
BrOF3,19,3,20,-0.966315596,3.136,0.000682708,7779854
INO2F6,12,4,10,-1.331871581,1.387,0.083383536,9951068
PClO2F6,13,4,20,-1.963585252,2.272,0.0,8638126
OsNO2F6,12,4,10,-1.487014025,1.138,0.052012692,8205067
PNO2F6,2,4,10,-1.992235329,3.618,0.0914768,9136811
SbClO2F6,13,4,20,-1.792068638,2.543,0.0,1929106
PBrO2F6,13,4,20,-1.911573637,2.122,0.0,9032730
SbNO2F6,12,4,10,-1.815116661,3.869,0.08099868,7840194
BiNO2F6,12,4,10,-1.537158876,2.824,0.0,8231400
TaNO2F6,12,4,10,-2.364415943,3.837,0.023506046,7831344
POF3,76,3,20,-2.664731992,6.058,0.079153341,8207890
POF3,1,3,20,-2.676493567,5.926,0.067391766,8206618
VOF3,76,3,20,-2.669511646,3.015,0.0489529,8207893
PSF3,33,3,20,-2.207183536,4.491,0.018035415,5269739
TlPbF3,161,3,10,-2.343747248,3.633,0.019783768,8468741
TlPbF3,140,3,10,-2.298585231,1.958,0.064945785,8313667
TlPbF3,221,3,5,-2.2878863,1.442,0.075644716,8212348
TiO3F,14,3,20,-2.280630387,1.052,0.059020374,7766216
NiAgF3,2,3,20,-1.609269563,0.83,0.010800477,8207963
NiAgF3,62,3,20,-1.582140008,0.7,0.037930032,8538194
Tl2SnPbF6,225,4,10,-2.257578096,0.591,0.08791423,6452153
Tl2AgRhF6,225,4,10,-1.796211979,1.283,0.018937836,5441116
Tl2AgRhF6,14,4,20,-1.815149815,1.134,0.0,6843397
Tl2AgRhF6,14,4,20,-1.815149535,1.133,0.0,6843402
Tl2CuRhF6,225,4,10,-1.796447147,0.529,0.023389208,5441096
Tl2CuRhF6,14,4,20,-1.80129169,0.525,0.018544665,6849786
Tl2HgMoF6,225,4,10,-2.011024385,1.368,0.060528445,6411136
Tl2AgIrF6,225,4,10,-1.690431327,1.026,0.022044349,5441126
Tl2AgMoF6,225,4,10,-2.035087785,0.546,0.017301773,5441111
Tl2CuMoF6,225,4,10,-1.9921841,0.559,0.065333138,5450186
TlGeF3,65,3,5,-2.155187013,1.251,0.084392415,8267306
CdAgF3,2,3,20,-1.889624138,0.883,0.052257705,8207951
CdAgF3,62,3,20,-1.924642618,0.881,0.017239225,8532262
HNO3,11,3,10,-0.628462464,3.474,0.092319367,9749315
TlHgF3,140,3,10,-1.764988815,2.44,0.039941112,8290724
TlHgF3,123,3,5,-1.753098811,1.74,0.051831116,8212742
TlHgF3,65,3,5,-1.758084595,1.737,0.046845332,8212833
TlHgF3,221,3,5,-1.764800157,1.731,0.04012977,8211066
TlHgF3,127,3,10,-1.749487063,1.724,0.055442864,8287104
Tl2AgBiF6,225,4,10,-2.049246045,1.459,0.065238505,6451261
ZnAgF3,62,3,20,-1.980225056,1.56,0.034052786,8538166
ZnAgF3,221,3,5,-1.952043561,1.535,0.062234281,43143
Tl2NiHgF6,225,4,10,-1.861745526,0.557,0.002700317,6411104
Tl2TcHgF6,225,4,10,-1.940444575,1.503,0.0,6411083
MnTl2PbF6,225,4,10,-2.327399114,0.684,0.038742315,6452142
NaAg2RhF6,225,4,10,-1.771678481,0.676,0.038905734,8229572
TlNiF3,65,3,5,-1.924886548,0.65,0.01631188,9064152
TlNiF3,12,3,10,-1.922297779,0.541,0.018900649,8286961
AsBrO3,19,3,20,-0.913033424,1.021,0.091620315,9032820
CrIn2GaF6,225,4,10,-2.232060733,1.77,0.088536242,6452559
Tl2CoCuF6,146,4,10,-1.860084392,0.596,0.041708234,6801867
TlIn2GaF6,225,4,10,-2.276309735,2.903,0.061277293,6218101
Tl2GaAgF6,225,4,10,-2.21314569,2.836,0.011099924,6358929
Tl2GaCuF6,225,4,10,-2.175786292,1.289,0.024789111,5450161
Tl2InAgF6,225,4,10,-2.154854148,2.111,0.018509234,5441121
CdInF3,65,3,5,-2.178848001,3.308,0.066274913,8252208
CdInF3,127,3,10,-2.154815914,3.24,0.090307,8274353
CdInF3,123,3,5,-2.157692717,3.199,0.087430197,8236305
CdInF3,221,3,5,-2.161201629,3.191,0.083921285,8213306
CdInF3,62,3,20,-2.178679106,2.207,0.066443808,8432873
CdInF3,140,3,10,-2.169617523,2.107,0.075505391,8276796
CdInF3,12,3,10,-2.162232686,1.986,0.082890228,8286870
Tl2CdGeF6,225,4,10,-2.181595623,2.199,0.072184186,6451011
Tl2InCuF6,225,4,10,-2.123130897,0.995,0.074653832,5450141
Tl2CdSnF6,225,4,10,-2.235001583,1.701,0.062715329,6410925
Tl2ZnHgF6,225,4,10,-2.054335114,2.978,0.009663804,6451300
TlGaF3,225,3,10,-2.316200397,2.373,0.058252022,5450666
ZnInF3,140,3,10,-2.260077571,2.824,0.040888492,8276834
ZnInF3,123,3,5,-2.247888663,2.74,0.0530774,8661681
ZnInF3,127,3,10,-2.226696339,2.736,0.074269724,8274382
ZnInF3,221,3,5,-2.240498115,2.716,0.060467948,8213378
ZnInF3,65,3,5,-2.264493183,2.683,0.03647288,8252343
Tl2ZnSnF6,225,4,10,-2.291876754,2.394,0.033384018,6451212
TlCrIn2F6,225,4,10,-2.282270626,1.854,0.055413881,6218174
Tl2CrAgF6,225,4,10,-2.218942621,1.422,0.007015937,6358933
Tl2InGaF6,225,4,10,-2.345557409,1.997,0.014153207,4046043
MnTl2GeF6,225,4,10,-2.253065793,1.171,0.051099842,6451927
MnTl2GeF6,225,4,10,-2.253038289,1.17,0.051127346,6451844
TlInF3,225,3,10,-2.245904659,1.175,0.069048012,5450061
AlTlIn2F6,166,4,10,-2.608071683,3.367,0.099199886,8700444
AlTl2AgF6,225,4,10,-2.599456308,3.262,0.008197718,4046234
AlTl2AgF6,225,4,10,-2.607654026,3.241,0.0,4793567
AlTl2AgF6,166,4,10,-2.580915259,3.097,0.026738767,8278656
MnTl2SnF6,225,4,10,-2.309686887,0.687,0.051789669,6411186
RbAuF3,12,3,10,-1.925168914,0.509,0.06282529,8587785
Tl2ZnFeF6,225,4,10,-2.194345918,0.519,0.035255644,6451059
Tl2CrGaF6,225,4,10,-2.319049891,1.662,0.067900097,5450086
Tl2CrGaF6,225,4,10,-2.325447547,1.657,0.061502441,5450661
Tl2CrInF6,225,4,10,-2.33682237,1.419,0.025139679,5450076
Tl2CrInF6,225,4,10,-2.336949091,1.419,0.025012958,5450091
NaCoAg2F6,225,4,10,-1.885739111,1.223,0.0,6450425
Tl2ZnInF6,225,4,10,-2.225208331,1.089,0.093801958,5450196
Tl2ZnInF6,1,4,20,-2.222095717,0.971,0.096914573,6909260
Tl2ZnInF6,1,4,20,-2.222099274,0.97,0.096911016,6910119
MnInF3,11,3,20,-2.287964845,1.029,0.047383121,8430468
MnInF3,221,3,5,-2.292814746,0.929,0.04253322,8213327
