name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id,A_site,B_site,X_site,EG_B2,EG_B1,EG_max,r_B2X,Nd_max,mean_Nd
Ac2AgSbO6,12,4,10,-2.503322281,1.332,0,9236640,Ac,"Ag,Sb",O,2.05,1.93,1.871,1.997570224,1.9992152,2.2
Ac2ErIrO6,2,4,10,-2.95981054,2.251,0.048896057,9239441,Ac,"Er,Ir",O,2.2,1.24,1.94,2.066192824,2.2554352,0.9
Ac2ErIrO6,12,4,10,-2.959812612,2.102,0.048893985,9236569,Ac,"Er,Ir",O,2.2,1.24,1.94,2.066944074,2.2554352,0.9
Ac2InSbO6,12,4,10,-2.571745463,1.797,0.092276058,9236696,Ac,"In,Sb",O,2.05,1.78,1.886,2.252851679,1.9992152,2.2
Ac2NbTlO6,12,4,10,-2.908176788,2.108,0.031928956,9236799,Ac,"Nb,Tl",O,1.62,1.6,1.902,2.584720239,1.9992152,1.6
Ac2TaAgO6,12,4,10,-2.994131313,2.471,0,9236479,Ac,"Ta,Ag",O,1.93,1.5,1.914,2.354487177,1.9992152,1.5
Ac2TbBiO6,12,4,10,-2.990393051,2.868,0.058062801,9236838,Ac,"Tb,Bi",O,2.02,1.21,1.954,2.332958641,1.9992152,1.2
AcAlO3,62,3,20,-3.531555684,4.397,0.000568542,2004410,Ac,Al,O,1.61,1.61,1.844,1.928700869,1.9992152,0.2
AcAlO3,74,3,10,-3.529594831,4.255,0.002529394,9235550,Ac,Al,O,1.61,1.61,1.844,1.923062052,1.9992152,0.2
AcAlO3,99,3,5,-3.528176783,4.209,0.003947442,1948403,Ac,Al,O,1.61,1.61,1.844,1.914739419,1.9992152,0.2
AcAlO3,140,3,10,-3.529559012,4.256,0.002565213,9241324,Ac,Al,O,1.61,1.61,1.844,1.924806561,1.9992152,0.2
AcAlO3,167,3,10,-3.531125257,4.248,0.000998968,2518752,Ac,Al,O,1.61,1.61,1.844,1.927791044,1.9992152,0.2
AcAlO3,221,3,5,-3.532124225,4.307,0,955443,Ac,Al,O,1.61,1.61,1.844,1.929148,1.9992152,0.2
AcAsO3,62,3,20,-2.622379071,2.97,0.01203746,2000818,Ac,As,O,2.18,2.18,1.844,1.805998298,1.9992152,2.2
AcAuO3,62,3,20,-2.005544344,0.745,0,2001209,Ac,Au,O,2.54,2.54,1.844,2.030941903,3.8592152,2.2
AcBiO3,62,3,20,-2.500315377,1.639,0.026580475,2070154,Ac,Bi,O,2.02,2.02,1.844,2.357556127,1.9992152,2.2
AcCrO3,62,3,20,-3.1378952,1.817,0,2058358,Ac,Cr,O,1.66,1.66,1.844,2.005464781,1.9992152,1.2
AcCrO3,99,3,5,-3.118571787,1.671,0.019323413,1953065,Ac,Cr,O,1.66,1.66,1.844,1.977911335,1.9992152,1.2
AcCrO3,167,3,10,-3.134116534,1.665,0.003778666,2518905,Ac,Cr,O,1.66,1.66,1.844,1.995911147,1.9992152,1.2
AcCrO3,221,3,5,-3.118948201,1.666,0.018946999,964818,Ac,Cr,O,1.66,1.66,1.844,1.9786215,1.9992152,1.2
AcDyO3,62,3,20,-3.712433632,4.542,0.002464982,2067285,Ac,Dy,O,1.22,1.22,1.844,2.253536974,1.9992152,0.2
AcDyO3,167,3,10,-3.6681339,3.93,0.046764714,2518920,Ac,Dy,O,1.22,1.22,1.844,2.247151677,1.9992152,0.2
AcErO3,62,3,20,-3.747751334,4.544,0,2005372,Ac,Er,O,1.24,1.24,1.844,2.23125523,1.9992152,0.2
AcErO3,167,3,10,-3.710038031,4.091,0.037713303,2518946,Ac,Er,O,1.24,1.24,1.844,2.220897168,1.9992152,0.2
AcFeO3,45,3,10,-2.72597111,0.753,0.004921022,9240749,Ac,Fe,O,1.83,1.83,1.844,2.004040084,1.9992152,1.4
AcFeO3,62,3,20,-2.730745439,0.908,0.000146693,4762473,Ac,Fe,O,1.83,1.83,1.844,2.017505096,1.9992152,1.4
AcFeO3,74,3,10,-2.727009932,0.752,0.0038822,9235510,Ac,Fe,O,1.83,1.83,1.844,2.006568946,1.9992152,1.4
AcFeO3,99,3,5,-2.705004847,0.61,0.025887285,1950211,Ac,Fe,O,1.83,1.83,1.844,1.982535473,1.9992152,1.4
AcFeO3,167,3,10,-2.728225998,0.903,0.002666134,2519001,Ac,Fe,O,1.83,1.83,1.844,2.01005311,1.9992152,1.4
AcGaO3,62,3,20,-2.913671497,3.174,0,2013084,Ac,Ga,O,1.81,1.81,1.844,1.993274283,1.9992152,2.2
AcGaO3,99,3,5,-2.901247162,3.327,0.012424335,1950589,Ac,Ga,O,1.81,1.81,1.844,1.9676365,1.9992152,2.2
AcGaO3,167,3,10,-2.911250552,3.452,0.002420945,2518984,Ac,Ga,O,1.81,1.81,1.844,1.983873511,1.9992152,2.2
AcGaO3,221,3,5,-2.903819628,3.356,0.009851869,973203,Ac,Ga,O,1.81,1.81,1.844,1.9746465,1.9992152,2.2
AcGdO3,62,3,20,-3.670146353,4.335,0.016049564,2068193,Ac,Gd,O,1.2,1.2,1.844,2.282433489,1.9992152,0.4
AcGdO3,167,3,10,-3.618252687,3.901,0.06794323,2519027,Ac,Gd,O,1.2,1.2,1.844,2.27245994,1.9992152,0.4
AcHoO3,62,3,20,-3.730655886,4.552,0,2065675,Ac,Ho,O,1.23,1.23,1.844,2.243498899,1.9992152,0.2
AcHoO3,167,3,10,-3.690355326,3.929,0.04030056,2519066,Ac,Ho,O,1.23,1.23,1.844,2.235552752,1.9992152,0.2
AcInO3,62,3,20,-2.748344322,2.695,0,2058329,Ac,In,O,1.78,1.78,1.844,2.181317673,1.9992152,2.2
AcInO3,167,3,10,-2.718942138,2.842,0.029402184,2519084,Ac,In,O,1.78,1.78,1.844,2.161156852,1.9992152,2.2
AcIrO3,62,3,20,-2.193813584,0.754,0.085794183,2005711,Ac,Ir,O,2.2,2.2,1.844,2.088569659,4.5116552,1.6
AcLuO3,62,3,20,-3.792952851,4.709,0,2065915,Ac,Lu,O,1.27,1.27,1.844,2.195162337,1.9992152,0.4
AcLuO3,167,3,10,-3.768931022,4.39,0.024021829,2520285,Ac,Lu,O,1.27,1.27,1.844,2.184593003,1.9992152,0.4
AcRhO3,62,3,20,-2.333914524,0.604,0,2005637,Ac,Rh,O,2.28,2.28,1.844,2.071504587,2.4792152,1.8
AcScO3,62,3,20,-3.762061854,4.099,0,2065563,Ac,Sc,O,1.36,1.36,1.844,2.106008286,1.9992152,0.4
AcScO3,99,3,5,-3.669350216,3.6,0.092711638,1951935,Ac,Sc,O,1.36,1.36,1.844,2.029530018,1.9992152,0.4
AcScO3,167,3,10,-3.752381157,4.08,0.009680697,2519245,Ac,Sc,O,1.36,1.36,1.844,2.098438778,1.9992152,0.4
AcScO3,221,3,5,-3.67103216,3.79,0.091029694,995484,Ac,Sc,O,1.36,1.36,1.844,2.0469755,1.9992152,0.4
AcSmO3,62,3,20,-3.60763089,4.287,0.032766566,2071903,Ac,Sm,O,1.17,1.17,1.844,2.316596165,1.9992152,0.2
AcSmO3,167,3,10,-3.546723218,3.734,0.093674238,2519285,Ac,Sm,O,1.17,1.17,1.844,2.30790234,1.9992152,0.2
