Original_Index,Actual_Values,Predicted_Values
0,3.543,2.7953816263131386
1,0.872,1.709315721864193
2,4.042,3.216069257551542
3,5.246,5.1661651577591545
4,7.27,7.620998010696665
5,1.997,1.885369214181867
6,5.136,5.166715960843229
7,5.155,3.547575318521181
8,1.168,2.6167386419063585
9,3.015,4.232047296153517
10,1.362,1.436024199212408
11,3.14,1.7048068402815422
12,1.489,1.2249501582166558
13,0.54,1.230929628766168
14,5.018,3.653531044156135
15,3.829,2.6674475016569867
16,3.815,3.6855124938951396
17,0.539,1.714172118508041
18,3.843,3.5336106885302807
19,1.298,1.448721795636709
20,1.165,2.8425828825569495
21,3.14,2.938260543648857
22,1.676,2.817242044050837
23,2.246,2.3942060767133735
24,6.198,5.06453334355248
25,2.708,1.553752775108786
26,5.625,5.15456555910646
27,3.269,2.3575288935389187
28,3.107,1.5893925288621134
29,1.029,1.9675935806791638
30,2.999,3.545477614641469
31,0.774,2.8969347847588782
32,3.53,3.638960085308767
33,3.287,2.939151303352891
34,3.88,3.8498344752863822
35,1.742,1.5306249432888723
36,1.744,2.7294153077440573
37,3.986,3.22177025370199
38,1.224,1.6201705871512926
39,0.541,1.595180924448648
40,1.941,1.9467526706506093
41,1.997,1.9420371178649176
42,5.316,4.29291765232634
43,1.198,1.6643828882065137
44,2.295,1.6879288059941926
45,4.135,3.3672492651168264
46,0.944,1.3062567081351677
47,2.854,2.2763499246350642
48,2.836,1.672666713378709
49,1.398,2.3583531709706915
50,3.655,3.1367125490783945
51,1.97,2.806999561465058
52,1.515,1.554874452401535
53,3.243,3.0475176496099015
54,2.502,1.691666713378709
55,3.651,3.742809160401274
56,0.693,1.6896667133787093
57,0.826,1.318254135498644
58,1.257,2.625269816543087
59,1.019,1.7698473915354258
60,2.63,1.7942463414079073
61,5.448,5.16996990241602
62,1.122,1.6179355682284604
63,2.064,2.4960565345214274
64,0.994,1.6257747334519552
65,4.02,3.2829975022994073
66,4.063,3.113706378040023
67,1.286,1.6495782856276666
68,4.671,4.896666598811748
69,2.465,3.169485718669062
70,3.472,3.004550338338584
71,3.495,3.754846305174329
72,0.897,2.3942060767133735
73,3.432,4.132937969963294
74,3.771,3.1321020743603984
75,2.851,2.8849249032692104
76,7.098,6.972257109405183
77,2.489,3.3788048366981145
78,4.56,3.565762591708749
79,4.82,5.006674657082026
80,2.427,3.25067128105111
81,3.845,2.9841153277529333
82,3.508,3.6589081562834096
